Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,0.00,0.00,0.00,0.00,1.1634e-06,1.5855e-06,1.7975e-06,1.2015e-08,1.1999e-06,4.6299e-07,1.1834e-06,1.5852e-06,1.7994e-06,7.0317e-09,1.2067e-06,4.6314e-07
P0,0.00,90.00,55.00,0.00,6.2757e-07,8.3758e-07,9.6069e-07,6.0472e-09,6.7036e-07,2.7185e-07,6.3857e-07,8.3682e-07,9.6219e-07,3.6321e-09,6.7405e-07,2.7190e-07
P0,45.00,45.00,45.00,0.00,8.1604e-07,1.1135e-06,1.2940e-06,8.2542e-09,9.5134e-07,4.0832e-07,8.3027e-07,1.1119e-06,1.2957e-06,4.8830e-09,9.5612e-07,4.0847e-07
P0,30.00,45.00,60.00,0.00,5.5580e-07,7.4775e-07,8.7172e-07,5.5772e-09,6.3885e-07,2.7272e-07,5.6561e-07,7.4650e-07,8.7319e-07,3.4339e-09,6.4220e-07,2.7287e-07
P0,0.00,90.00,60.00,0.00,5.3674e-07,7.1051e-07,8.1804e-07,5.1695e-09,5.7418e-07,2.3399e-07,5.4623e-07,7.0967e-07,8.1950e-07,3.1929e-09,5.7737e-07,2.3410e-07
P0,45.00,45.00,55.00,0.00,6.6730e-07,9.0667e-07,1.0629e-06,6.9203e-09,8.0099e-07,3.5226e-07,6.7904e-07,9.0497e-07,1.0646e-06,4.2386e-09,8.0496e-07,3.5239e-07
P0,30.00,45.00,45.00,0.00,8.0430e-07,1.0965e-06,1.2631e-06,8.0018e-09,8.9983e-07,3.7361e-07,8.1826e-07,1.0955e-06,1.2647e-06,4.6517e-09,9.0454e-07,3.7371e-07
P0,45.00,0.00,45.00,0.00,8.2756e-07,1.1386e-06,1.3287e-06,8.4564e-09,9.8988e-07,4.3116e-07,8.4196e-07,1.1368e-06,1.3304e-06,4.9416e-09,9.9477e-07,4.3132e-07
P0,55.00,45.00,55.00,0.00,6.8658e-07,9.3165e-07,1.1049e-06,7.4735e-09,8.5858e-07,3.8844e-07,6.9874e-07,9.2931e-07,1.1068e-06,4.7632e-09,8.6273e-07,3.8860e-07
P0,60.00,45.00,60.00,0.00,6.2019e-07,8.3656e-07,1.0085e-06,7.3307e-09,8.1107e-07,3.7710e-07,6.3132e-07,8.3368e-07,1.0105e-06,4.9754e-09,8.1499e-07,3.7734e-07
P0,30.00,90.00,0.00,0.00,1.1484e-06,1.5591e-06,1.7723e-06,1.1554e-08,1.2012e-06,4.7117e-07,1.1682e-06,1.5586e-06,1.7743e-06,6.7296e-09,1.2079e-06,4.7136e-07
