Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,0.00,0.00,30.00,0.00,7.1075e-08,3.3912e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.0252e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,60.00,90.00,30.00,0.00,7.5271e-08,2.7289e-07,9.1850e-07,5.4196e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4114e-08,2.4676e-07,6.6788e-07,5.4945e-06,9.6839e-06,1.0861e-05,9.0923e-06
P1,30.00,0.00,60.00,0.00,7.4572e-08,3.2459e-07,1.0660e-06,5.7620e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3748e-08,2.9439e-07,7.7751e-07,5.8147e-06,9.9922e-06,1.1263e-05,9.9920e-06
P1,0.00,90.00,30.00,0.00,7.1075e-08,3.3912e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.0252e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,60.00,45.00,30.00,0.00,8.6479e-08,2.7289e-07,9.1850e-07,5.4202e-06,1.0916e-05,1.0905e-05,7.7181e-06,8.4926e-08,2.4676e-07,6.6788e-07,5.4951e-06,9.6840e-06,1.0861e-05,9.0923e-06
P1,30.00,180.00,0.00,0.00,7.4186e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3163e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,30.00,45.00,30.00,0.00,7.6655e-08,3.2459e-07,1.0660e-06,5.7619e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.5575e-08,2.9439e-07,7.7751e-07,5.8145e-06,9.9922e-06,1.1263e-05,9.9919e-06
P1,0.00,0.00,60.00,0.00,6.2374e-08,3.3912e-07,1.1069e-06,5.8345e-06,1.1431e-05,1.1418e-05,9.0023e-06,6.2040e-08,3.0782e-07,8.0769e-07,5.8814e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,45.00,0.00,0.00,7.4186e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3163e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,60.00,0.00,30.00,0.00,9.3131e-08,2.7290e-07,9.1850e-07,5.4204e-06,1.0916e-05,1.0905e-05,7.7181e-06,9.1347e-08,2.4676e-07,6.6788e-07,5.4954e-06,9.6840e-06,1.0861e-05,9.0923e-06
P1,60.00,90.00,0.00,0.00,7.5333e-08,2.7289e-07,9.1850e-07,5.4197e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4158e-08,2.4676e-07,6.6788e-07,5.4946e-06,9.6839e-06,1.0861e-05,9.0923e-06
P1,60.00,135.00,30.00,0.00,6.8071e-08,2.7289e-07,9.1850e-07,5.4194e-06,1.0916e-05,1.0905e-05,7.7181e-06,6.7185e-08,2.4676e-07,6.6788e-07,5.4942e-06,9.6838e-06,1.0861e-05,9.0923e-06
P1,30.00,90.00,0.00,0.00,7.4186e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3163e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,0.00,135.00,30.00,0.00,7.1075e-08,3.3912e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.0252e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,60.00,90.00,60.00,0.00,6.8325e-08,2.7289e-07,9.1850e-07,5.4196e-06,1.0916e-05,1.0905e-05,7.7181e-06,6.7535e-08,2.4676e-07,6.6788e-07,5.4945e-06,9.6839e-06,1.0861e-05,9.0923e-06
P1,60.00,0.00,60.00,0.00,1.2195e-07,2.7291e-07,9.1850e-07,5.4224e-06,1.0916e-05,1.0905e-05,7.7181e-06,1.1946e-07,2.4676e-07,6.6788e-07,5.4975e-06,9.6845e-06,1.0861e-05,9.0923e-06
P1,60.00,45.00,60.00,0.00,9.4686e-08,2.7290e-07,9.1850e-07,5.4208e-06,1.0916e-05,1.0905e-05,7.7181e-06,9.3012e-08,2.4676e-07,6.6788e-07,5.4958e-06,9.6841e-06,1.0861e-05,9.0923e-06
P1,60.00,180.00,30.00,0.00,6.5809e-08,2.7289e-07,9.1850e-07,5.4193e-06,1.0916e-05,1.0905e-05,7.7181e-06,6.5012e-08,2.4676e-07,6.6788e-07,5.4942e-06,9.6838e-06,1.0861e-05,9.0923e-06
P1,60.00,135.00,0.00,0.00,7.5333e-08,2.7289e-07,9.1850e-07,5.4197e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4158e-08,2.4676e-07,6.6788e-07,5.4946e-06,9.6839e-06,1.0861e-05,9.0923e-06
P2,30.00,90.00,0.00,0.00,5.2128e-08,3.2363e-07,1.1152e-06,3.8698e-06,8.5893e-06,8.5762e-06,7.4276e-06,5.0359e-08,2.9317e-07,8.0881e-07,3.8850e-06,7.1500e-06,8.4719e-06,8.1730e-06
P2,0.00,180.00,0.00,0.00,4.9611e-08,3.3965e-07,1.1579e-06,3.9090e-06,8.6197e-06,8.6065e-06,7.5835e-06,4.8002e-08,3.0805e-07,8.4499e-07,3.9206e-06,7.1773e-06,8.5004e-06,8.2919e-06
P2,30.00,180.00,0.00,0.00,5.2128e-08,3.2363e-07,1.1152e-06,3.8698e-06,8.5893e-06,8.5762e-06,7.4276e-06,5.0359e-08,2.9317e-07,8.0881e-07,3.8850e-06,7.1500e-06,8.4719e-06,8.1730e-06
P2,30.00,0.00,0.00,0.00,5.2128e-08,3.2363e-07,1.1152e-06,3.8698e-06,8.5893e-06,8.5762e-06,7.4276e-06,5.0359e-08,2.9317e-07,8.0881e-07,3.8850e-06,7.1500e-06,8.4719e-06,8.1730e-06
P2,0.00,0.00,0.00,0.00,4.9611e-08,3.3965e-07,1.1579e-06,3.9090e-06,8.6197e-06,8.6065e-06,7.5835e-06,4.8002e-08,3.0805e-07,8.4499e-07,3.9206e-06,7.1773e-06,8.5004e-06,8.2919e-06
P2,30.00,180.00,60.00,0.00,3.5198e-08,3.2362e-07,1.1152e-06,3.8695e-06,8.5893e-06,8.5761e-06,7.4276e-06,3.4363e-08,2.9317e-07,8.0880e-07,3.8846e-06,7.1499e-06,8.4719e-06,8.1730e-06
P2,60.00,180.00,0.00,0.00,5.8456e-08,2.6963e-07,9.4939e-07,3.6858e-06,8.4519e-06,8.4389e-06,6.7907e-06,5.6358e-08,2.4376e-07,6.7609e-07,3.7145e-06,7.0257e-06,8.3443e-06,7.6669e-06
P2,0.00,0.00,60.00,0.00,3.8509e-08,3.3964e-07,1.1579e-06,3.9088e-06,8.6197e-06,8.6065e-06,7.5835e-06,3.7558e-08,3.0805e-07,8.4498e-07,3.9205e-06,7.1774e-06,8.5004e-06,8.2919e-06
