Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,45.00,45.00,45.00,0.00,5.5901e-07,7.4056e-07,8.8210e-07,6.7269e-09,7.3574e-07,3.5229e-07,5.6889e-07,7.3837e-07,8.8364e-07,4.4774e-09,7.3694e-07,3.5328e-07
P0,30.00,45.00,60.00,0.00,3.9436e-07,5.2037e-07,6.2291e-07,4.7807e-09,5.2195e-07,2.5130e-07,4.0138e-07,5.1868e-07,6.2415e-07,3.2620e-09,5.2295e-07,2.5186e-07
P0,0.00,90.00,60.00,0.00,3.7596e-07,4.9200e-07,5.8780e-07,4.4967e-09,4.8732e-07,2.3255e-07,3.8265e-07,4.9042e-07,5.8894e-07,3.0413e-09,4.8822e-07,2.3310e-07
P0,45.00,45.00,55.00,0.00,4.7684e-07,6.2906e-07,7.5079e-07,5.8423e-09,6.3240e-07,3.0577e-07,4.8533e-07,6.2710e-07,7.5227e-07,4.0077e-09,6.3359e-07,3.0655e-07
P0,55.00,135.00,30.00,0.00,7.0205e-07,9.0205e-07,1.0656e-06,8.4384e-09,8.8484e-07,4.2361e-07,7.1462e-07,8.9949e-07,1.0676e-06,5.7844e-09,8.8632e-07,4.2477e-07
P0,45.00,0.00,45.00,0.00,5.5851e-07,7.4066e-07,8.8253e-07,6.7265e-09,7.3628e-07,3.5260e-07,5.6836e-07,7.3846e-07,8.8407e-07,4.4739e-09,7.3748e-07,3.5358e-07
P0,45.00,180.00,60.00,0.00,4.6148e-07,5.7457e-07,6.7374e-07,5.7747e-09,5.6346e-07,2.7318e-07,4.6993e-07,5.7296e-07,6.7523e-07,4.2076e-09,5.6463e-07,2.7384e-07
P0,55.00,45.00,55.00,0.00,5.0836e-07,6.6597e-07,7.9668e-07,6.4610e-09,6.7779e-07,3.3085e-07,5.1750e-07,6.6375e-07,7.9843e-07,4.5946e-09,6.7920e-07,3.3164e-07
P0,60.00,45.00,60.00,0.00,4.7853e-07,6.1895e-07,7.4456e-07,6.5262e-09,6.3945e-07,3.1535e-07,4.8727e-07,6.1660e-07,7.4644e-07,4.8797e-09,6.4099e-07,3.1590e-07
P0,30.00,90.00,0.00,0.00,6.9140e-07,9.0394e-07,1.0761e-06,8.6874e-09,8.6393e-07,3.9987e-07,7.0353e-07,9.0114e-07,1.0775e-06,5.6691e-09,8.6494e-07,4.0109e-07
P0,30.00,135.00,0.00,0.00,6.9140e-07,9.0394e-07,1.0761e-06,8.6874e-09,8.6393e-07,3.9987e-07,7.0353e-07,9.0114e-07,1.0775e-06,5.6691e-09,8.6494e-07,4.0109e-07
